0.673958,0.560191,0.481608,0,0.596424,-0.797282,0.0927431,0,0.43594,0.224742,-0.871463,0,0.186194,0.214461,0.671123,1
0.650354,0.506122,0.566446,0,0.582931,-0.810644,0.0550319,0,0.487048,0.294414,-0.822256,0,0.177559,0.204184,0.678091,1
0.529122,0.50746,0.68007,0,0.678087,-0.734679,0.0206292,0,0.510111,0.45024,-0.732851,0,0.16401,0.125726,0.647368,1
0.66326,0.401118,0.6318,0,0.559237,-0.826656,-0.0622553,0,0.497319,0.394625,-0.772622,0,0.185052,0.236228,0.669194,1
0.742342,0.427654,0.515772,0,0.535743,-0.841152,-0.0736415,0,0.402358,0.330995,-0.853552,0,0.194022,0.217914,0.746844,1
0.722788,0.46486,0.511335,0,0.485852,-0.868016,0.102356,0,0.491438,0.174455,-0.853261,0,0.27411,0.287196,0.586054,1
0.769711,0.461264,0.441318,0,0.548925,-0.831143,-0.0886821,0,0.325899,0.310516,-0.892956,0,0.252006,0.374919,0.588321,1
0.620003,0.530057,0.578461,0,0.685841,-0.72422,-0.071475,0,0.381054,0.441055,-0.812569,0,0.268172,0.205874,0.565794,1
0.793943,0.373379,0.479815,0,0.517132,-0.829727,-0.210021,0,0.319704,0.41488,-0.851859,0,0.260134,0.265402,0.662381,1
0.683561,0.363066,0.633173,0,0.525284,-0.847013,-0.0814038,0,0.506761,0.388248,-0.769713,0,0.199762,0.243221,0.626387,1
0.702797,0.452654,0.548781,0,0.584916,-0.806759,-0.0836308,0,0.404886,0.379774,-0.831769,0,0.240859,0.215855,0.703166,1
0.676823,0.417941,0.605984,0,0.523599,-0.851949,0.00277337,0,0.517437,0.315422,-0.795467,0,0.185274,0.163795,0.727679,1
0.609926,0.418956,0.672642,0,0.507947,-0.858198,0.0739425,0,0.60825,0.296573,-0.736258,0,0.261887,0.0266139,0.664006,1
